album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Balakrishna Hit Songs,1,0tcKNQKbX2rUzDVusIXZ1N,Paalakolla Papa,spotify:track:0tcKNQKbX2rUzDVusIXZ1N,0.786,0.486,0.598,0.0,0.321,-5.024,0.0455,92.491,0.799,34
Balakrishna Hit Songs,2,6V6ac50KdPGOyCroTUd631,Oho Bhama,spotify:track:6V6ac50KdPGOyCroTUd631,0.612,0.739,0.929,3.29e-06,0.263,-3.143,0.13,90.974,0.898,24
Balakrishna Hit Songs,3,5wBCqWnJS9eowHMFTd0rmu,Srirasthu Shubhamasthu,spotify:track:5wBCqWnJS9eowHMFTd0rmu,0.651,0.502,0.668,0.0,0.345,-3.633,0.0314,97.06,0.472,18
Balakrishna Hit Songs,4,0pVE2dUVtBSae6nhR8T7Bv,Okkasaari Okkasaari,spotify:track:0pVE2dUVtBSae6nhR8T7Bv,0.526,0.638,0.677,0.0,0.165,-4.615,0.0324,132.843,0.606,23
Balakrishna Hit Songs,5,53bJ3dcdhXthwPPeghk0DH,Edu Ela Vesina,spotify:track:53bJ3dcdhXthwPPeghk0DH,0.561,0.704,0.783,0.0,0.175,-4.8,0.0677,80.521,0.865,16
Balakrishna Hit Songs,6,4m1LE3oxIbNeGcixZvzdVp,Chi Chi Paapa Chi,spotify:track:4m1LE3oxIbNeGcixZvzdVp,0.534,0.748,0.833,0.0,0.354,-4.225,0.123,104.985,0.652,13
Balakrishna Hit Songs,7,1HPJyN6BvVEUKiUODkSsr5,Maama Zabba Maama,spotify:track:1HPJyN6BvVEUKiUODkSsr5,0.5,0.712,0.862,7.18e-05,0.224,-4.542,0.101,128.342,0.453,13
Balakrishna Hit Songs,8,0zYudx6wCPUp9WyC1b6PVf,Lakadi Ka Polata,spotify:track:0zYudx6wCPUp9WyC1b6PVf,0.839,0.535,0.792,8.49e-06,0.124,-3.036,0.156,72.494,0.79,14
Chandrabose Golden Memories,1,6HKuEmJNhyJwo238SwCrQ9,"Panchangam Yeanga(From""Makkal Yen Pakkam"")",spotify:track:6HKuEmJNhyJwo238SwCrQ9,0.958,0.406,0.088,0.834,0.139,-24.503,0.042,94.468,0.511,13
Chandrabose Golden Memories,2,0PGlA2PFGXlEwSgGDlivbr,"Thennamara Thoppukulla Varuva(From""Micheal Raj"")",spotify:track:0PGlA2PFGXlEwSgGDlivbr,0.854,0.723,0.434,0.225,0.38,-10.535,0.224,78.42,0.775,8
Chandrabose Golden Memories,3,1BwBK8EDqnaTpnA32vEDbC,"Odakaraieley Orama(From""Ilayaraja Love bites"")",spotify:track:1BwBK8EDqnaTpnA32vEDbC,0.97,0.493,0.536,0.506,0.183,-13.136,0.0787,104.816,0.91,7
Chandrabose Golden Memories,4,6htHJSvahFZrMqeQ6oP7h9,"Vethala Madichi Kodutha(From""Pattisollai Thattadhe"")",spotify:track:6htHJSvahFZrMqeQ6oP7h9,0.911,0.554,0.344,0.439,0.103,-11.892,0.11,149.072,0.754,10
Chandrabose Golden Memories,5,4smBGDXczW2R3vWDiXKKVO,"Muthu Muthu Mala Pottu(From""Pen Butthi Munbutthi"")",spotify:track:4smBGDXczW2R3vWDiXKKVO,0.453,0.695,0.417,1.32e-05,0.254,-12.037,0.0396,133.363,0.716,6
Chandrabose Golden Memories,6,1nxMcG8huGfUqaNTJNSFqD,"Kakki Sattai Potta Machan(From""Sankar Guru"")",spotify:track:1nxMcG8huGfUqaNTJNSFqD,0.335,0.781,0.42,2.33e-05,0.041,-12.173,0.0851,141.169,0.829,6
Chandrabose Golden Memories,7,492EZAnY1CLSYWYp9bhwOD,"Hey Mallikai Poo Poothirukku(From""Thaimel Aanai"")",spotify:track:492EZAnY1CLSYWYp9bhwOD,0.753,0.555,0.392,0.0507,0.239,-11.44,0.0395,79.198,0.742,13
